Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F
8,Antigua and Barbuda,571,"Mangoes, mangosteens, guavas",5419,Yield,hg/ha,55618,Fc,56392,Fc,57143,Fc,55000,Fc,55000,Fc,55038,Fc,54781,Fc,54360,Fc,55556,Fc,57407,Fc,55556,Fc,55556,Fc,38281,Fc,44092,Fc,50500,Fc
8,Antigua and Barbuda,571,"Mangoes, mangosteens, guavas",5510,Production,tonnes,1335,Im,1350,F,1400,F,1375,F,1430,F,1429,Im,1429,Im,1430,Im,1500,F,1550,F,1500,F,1500,F,1225,F,1352,Im,1422,Im
8,Antigua and Barbuda,568,"Melons, other (inc.cantaloupes)",5312,Area harvested,ha,65,F,64,Im,70,F,75,F,80,F,79,Im,81,Im,82,Im,85,F,85,Im,86,Im,86,Im,85,F,89,Im,94,Im
8,Antigua and Barbuda,568,"Melons, other (inc.cantaloupes)",5419,Yield,hg/ha,109981,Fc,109175,Fc,107143,Fc,104000,Fc,105000,Fc,107197,Fc,107063,Fc,107137,Fc,105882,Fc,108816,Fc,110224,Fc,111705,Fc,117647,Fc,113549,Fc,109356,Fc
8,Antigua and Barbuda,568,"Melons, other (inc.cantaloupes)",5510,Production,tonnes,715,Im,700,F,750,F,780,F,840,F,852,Im,862,Im,881,Im,900,F,923,Im,944,Im,966,Im,1000,F,1008,Im,1031,Im
8,Antigua and Barbuda,403,"Onions, dry",5312,Area harvested,ha,15,F,15,Im,16,Im,18,F,20,F,22,Im,25,F,26,Im,28,Im,30,Im,31,Im,33,Im,35,F,36,Im,36,Im
8,Antigua and Barbuda,403,"Onions, dry",5419,Yield,hg/ha,73333,Fc,76565,Fc,77263,Fc,77778,Fc,75000,Fc,76499,Fc,76000,Fc,77148,Fc,77620,Fc,77975,Fc,78308,Fc,78631,Fc,80000,Fc,78644,Fc,78183,Fc
8,Antigua and Barbuda,403,"Onions, dry",5510,Production,tonnes,110,F,115,F,120,F,140,F,150,F,168,Im,190,F,202,Im,216,Im,230,Im,244,Im,257,Im,280,F,283,Im,283,Im
8,Antigua and Barbuda,574,Pineapples,5312,Area harvested,ha,16,F,16,Im,16,Im,18,F,20,F,22,Im,23,Im,25,Im,26,Im,27,Im,28,Im,30,Im,30,F,31,Im,33,Im
8,Antigua and Barbuda,574,Pineapples,5419,Yield,hg/ha,96875,Fc,98087,Fc,100313,Fc,102778,Fc,105000,Fc,107005,Fc,108942,Fc,110766,Fc,112600,Fc,114409,Fc,116199,Fc,117976,Fc,120000,Fc,121518,Fc,116394,Fc
8,Antigua and Barbuda,574,Pineapples,5510,Production,tonnes,155,F,160,F,165,F,185,F,210,F,232,Im,254,Im,272,Im,292,Im,311,Im,329,Im,350,F,360,F,374,Im,386,Im
8,Antigua and Barbuda,394,"Pumpkins, squash and gourds",5312,Area harvested,ha,35,F,37,Im,40,F,45,F,50,F,44,Im,43,Im,42,Im,41,Im,40,Im,39,Im,37,Im,32,F,39,Im,40,Im
8,Antigua and Barbuda,394,"Pumpkins, squash and gourds",5419,Yield,hg/ha,82857,Fc,83112,Fc,82500,Fc,82222,Fc,80000,Fc,85451,Fc,86457,Fc,87408,Fc,88976,Fc,90130,Fc,91289,Fc,92452,Fc,103125,Fc,94183,Fc,94491,Fc
